order_month,region,product_category,total_sales,total_net_sales,total_quantity,total_orders,total_customers,total_profit,returns_count,avg_order_value,return_rate,profit_margin_%
3,Central,Furniture,12443.95,12443.95,137,17,17,-315.29900000000004,0,731.9970588235294,0.0,-2.5337533500214966
3,Central,Office Supplies,16981.55,16981.55,681,50,51,372.94529999999963,0,339.631,0.0,2.196179382918518
3,Central,Technology,32634.21,32634.21,285,23,24,7079.3703,0,1418.878695652174,0.0,21.69309537445521
3,East,Furniture,16779.23,16779.23,151,14,16,-3758.293697000001,0,1198.5164285714286,0.0,-22.39848727861768
3,East,Office Supplies,8559.66,8559.66,309,21,21,3162.5658,0,407.60285714285715,0.0,36.94732968365566
3,East,Technology,12705.789999999999,12705.789999999999,116,13,15,5327.051099999999,0,977.3684615384615,0.0,41.92616988003107
3,South,Furniture,16505.39,16505.39,167,17,16,-263.18397625000017,0,970.905294117647,0.0,-1.5945335205651014
3,South,Office Supplies,20281.89,20281.89,381,30,30,-30.184000000000367,0,676.063,0.0,-0.14882242236793694
3,South,Technology,20530.95,20530.95,245,24,24,-18185.86314,0,855.4562500000001,0.0,-88.57779664360392
3,West,Furniture,25820.41,25820.41,190,13,12,2267.931599999999,0,1986.1853846153847,0.0,8.783484073258322
3,West,Office Supplies,11449.01,11449.01,521,34,37,3586.3145,0,336.73558823529413,0.0,31.324232400880074
3,West,Technology,28810.579999999998,28810.579999999998,322,22,22,-5764.6945,0,1309.5718181818181,0.0,-20.00894983717787
4,Central,Furniture,17225.620000000003,17225.620000000003,134,14,14,2185.7915999999996,0,1230.4014285714288,0.0,12.689189706959745
4,Central,Office Supplies,14014.63,14014.63,368,35,35,2907.54492,0,400.41799999999995,0.0,20.74649790968438
4,Central,Technology,20218.58,20218.58,128,11,11,1170.036052,0,1838.0527272727275,0.0,5.786934849034897
4,East,Furniture,27554.19,22295.25,286,18,18,2520.8760299999994,1,1530.7883333333332,0.05555555555555555,9.148793813209533
4,East,Office Supplies,51524.59,51524.59,633,37,41,10153.605099999999,0,1392.5564864864864,0.0,19.70632876457629
4,East,Technology,23235.9,23235.9,293,19,20,5512.882568,0,1222.942105263158,0.0,23.725711369045314
4,South,Furniture,12651.49,12651.49,134,16,16,-776.2333000000001,0,790.718125,0.0,-6.135508940053702
4,South,Office Supplies,30238.510000000002,30238.510000000002,638,43,42,1760.2553999999993,0,703.2211627906977,0.0,5.821237223659496
4,South,Technology,15387.09,15387.09,153,15,15,2071.6373799999997,0,1025.806,0.0,13.463477369665085
4,West,Furniture,24593.71,24593.71,150,8,8,4803.24838,0,3074.21375,0.0,19.53039366569745
4,West,Office Supplies,16023.359999999999,15717.289999999999,528,29,31,3498.14988,2,552.5296551724138,0.06896551724137931,21.831562668503985
4,West,Technology,31851.93,31851.93,302,21,21,-12989.231108,0,1516.7585714285715,0.0,-40.780044122915
5,Central,Furniture,22878.21,22878.21,276,14,15,4814.3617,0,1634.157857142857,0.0,21.043436964692606
5,Central,Office Supplies,20344.16,20344.16,839,42,43,5458.3733,0,484.3847619047619,0.0,26.830172884995008
5,Central,Technology,36026.56,36026.56,485,19,19,13800.282379999999,0,1896.1347368421052,0.0,38.305856512528536
5,East,Furniture,31489.84,31489.84,293,12,12,6144.1237584,0,2624.153333333333,0.0,19.511448004816792
5,East,Office Supplies,28019.600000000002,27570.99,950,42,47,4104.764899999999,2,667.1333333333334,0.047619047619047616,14.649619908920894
5,East,Technology,25349.37,25349.37,410,20,20,5016.51326,0,1267.4685,0.0,19.789498752828965
5,South,Furniture,19242.64,19242.64,138,5,5,1792.3444,0,3848.528,0.0,9.31444126169798
5,South,Office Supplies,21452.809999999998,21452.809999999998,714,30,30,-630.8949600000002,0,715.0936666666665,0.0,-2.94084998655188
5,South,Technology,10191.939999999999,10191.939999999999,224,12,12,-1312.5618,0,849.3283333333333,0.0,-12.87842942560494
5,West,Furniture,23294.3,23294.3,230,15,15,13667.660899999999,0,1552.9533333333334,0.0,58.67384252800041
5,West,Office Supplies,12029.66,10838.08,815,35,35,1320.0403999999999,1,343.7045714285714,0.02857142857142857,10.973214538066745
5,West,Technology,12314.099999999999,12314.099999999999,212,19,19,4851.64092,0,648.1105263157893,0.0,39.39907033400736
6,Central,Furniture,29418.52,29418.52,251,23,23,-1095.035045,0,1279.0660869565218,0.0,-3.7222642233531804
6,Central,Office Supplies,24967.34,24967.34,530,41,42,13649.88965,0,608.959512195122,0.0,54.67098076927698
6,Central,Technology,29399.17,29399.17,167,17,16,7173.2662,0,1729.3629411764705,0.0,24.399553456781263
6,East,Furniture,16669.4,16669.4,187,12,13,336.95231499999954,0,1389.1166666666668,0.0,2.0213823832891378
6,East,Office Supplies,15638.68,15200.43,829,43,47,5216.09495,1,363.69023255813954,0.023255813953488372,33.35380575598452
6,East,Technology,24124.43,24124.43,298,20,20,3876.3173999999995,0,1206.2215,0.0,16.06801652930245
6,South,Furniture,21729.54,21729.54,189,12,12,832.3192300000002,0,1810.795,0.0,3.8303582588494747
6,South,Office Supplies,17608.149999999998,17608.149999999998,480,32,31,-1502.0654000000006,0,550.2546874999999,0.0,-8.530512291183348
6,South,Technology,10126.62,10126.62,181,11,11,-64.20724000000006,0,920.6018181818182,0.0,-0.6340441331856044
6,West,Furniture,32691.89,32691.89,228,13,13,7048.7692,0,2514.7607692307693,0.0,21.561216558602148
6,West,Office Supplies,9756.890000000001,9756.890000000001,549,21,20,2107.44825,0,464.6138095238096,0.0,21.599590135791217
6,West,Technology,16832.11,16832.11,136,14,14,6296.3721,0,1202.2935714285716,0.0,37.406909175379674
